n_devices,build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,flash_attn,tensor_split,use_mmap,embeddings,n_prompt,n_gen,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
1,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","32","0","2026-06-02T21:19:17Z","4230554583","0","7.564020","0.000000"
1,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","128","0","2026-06-02T21:19:26Z","17135675042","0","7.469796","0.000000"
1,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","32","2026-06-02T21:20:00Z","12374866375","0","2.585887","0.000000"
1,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","64","2026-06-02T21:20:13Z","25430147750","0","2.516698","0.000000"
2,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","32","0","2026-06-02T21:22:54Z","5518003625","0","5.799199","0.000000"
2,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","128","0","2026-06-02T21:23:04Z","18061542334","0","7.086881","0.000000"
2,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","32","2026-06-02T21:23:41Z","16625687125","0","1.924732","0.000000"
2,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","64","2026-06-02T21:23:58Z","35819026167","0","1.786760","0.000000"
4,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","32","0","2026-06-02T21:54:10Z","6502608792","0","4.921102","0.000000"
4,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","128","0","2026-06-02T21:54:23Z","20630391750","0","6.204439","0.000000"
4,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","32","2026-06-02T21:55:07Z","24069968291","0","1.329458","0.000000"
4,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","64","2026-06-02T21:55:32Z","51070509166","0","1.253169","0.000000"
8,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","32","0","2026-06-02T23:56:24Z","8827177000","0","3.625168","0.000000"
8,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","128","0","2026-06-02T23:56:47Z","23891123125","0","5.357638","0.000000"
8,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","32","2026-06-02T23:57:40Z","30555177291","0","1.047286","0.000000"
8,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","64","2026-06-02T23:58:12Z","59422047833","0","1.077041","0.000000"
16,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","32","0","2026-06-03T00:52:27Z","14439167208","0","2.216194","0.000000"
16,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","128","0","2026-06-03T00:53:25Z","32389125625","0","3.951944","0.000000"
16,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","32","2026-06-03T00:54:55Z","203185495083","0","0.157492","0.000000"
16,"7f78f9c4","4864","Accelerate, Apple M5","","BLAS,RPC","/Users/anna/GitHub/llama.cpp/models/tinyllama-chat/tinyllama-1.1b-chat-v1.0.Q5_K_M.gguf","llama 1B Q5_K - Medium","781307904","1100048384","2048","512","4","0x0","0","50","f16","f16","23","layer","0","0","0","0.00","1","0","0","64","2026-06-03T00:59:02Z","413778612625","0","0.154672","0.000000"
